image,class
person01_boxing_d4_uncomp.avi_frame0.jpg,non-waving
person01_boxing_d4_uncomp.avi_frame1.jpg,non-waving
person01_boxing_d4_uncomp.avi_frame10.jpg,non-waving
person01_boxing_d4_uncomp.avi_frame11.jpg,non-waving
person01_boxing_d4_uncomp.avi_frame12.jpg,non-waving
person01_boxing_d4_uncomp.avi_frame2.jpg,non-waving
person01_boxing_d4_uncomp.avi_frame3.jpg,non-waving
person01_boxing_d4_uncomp.avi_frame4.jpg,non-waving
person01_boxing_d4_uncomp.avi_frame5.jpg,non-waving
person01_boxing_d4_uncomp.avi_frame6.jpg,non-waving
person01_boxing_d4_uncomp.avi_frame7.jpg,non-waving
person01_boxing_d4_uncomp.avi_frame8.jpg,non-waving
person01_boxing_d4_uncomp.avi_frame9.jpg,non-waving
person01_handclapping_d1_uncomp.avi_frame0.jpg,non-waving
person01_handclapping_d1_uncomp.avi_frame1.jpg,non-waving
person01_handclapping_d1_uncomp.avi_frame10.jpg,non-waving
person01_handclapping_d1_uncomp.avi_frame11.jpg,non-waving
person01_handclapping_d1_uncomp.avi_frame12.jpg,non-waving
person01_handclapping_d1_uncomp.avi_frame13.jpg,non-waving
person01_handclapping_d1_uncomp.avi_frame14.jpg,non-waving
person01_handclapping_d1_uncomp.avi_frame15.jpg,non-waving
person01_handclapping_d1_uncomp.avi_frame2.jpg,non-waving
person01_handclapping_d1_uncomp.avi_frame3.jpg,non-waving
person01_handclapping_d1_uncomp.avi_frame4.jpg,non-waving
person01_handclapping_d1_uncomp.avi_frame5.jpg,non-waving
person01_handclapping_d1_uncomp.avi_frame6.jpg,non-waving
person01_handclapping_d1_uncomp.avi_frame7.jpg,non-waving
person01_handclapping_d1_uncomp.avi_frame8.jpg,non-waving
person01_handclapping_d1_uncomp.avi_frame9.jpg,non-waving
person01_handclapping_d3_uncomp.avi_frame0.jpg,non-waving
person01_handclapping_d3_uncomp.avi_frame1.jpg,non-waving
person01_handclapping_d3_uncomp.avi_frame10.jpg,non-waving
person01_handclapping_d3_uncomp.avi_frame11.jpg,non-waving
person01_handclapping_d3_uncomp.avi_frame12.jpg,non-waving
person01_handclapping_d3_uncomp.avi_frame13.jpg,non-waving
person01_handclapping_d3_uncomp.avi_frame14.jpg,non-waving
person01_handclapping_d3_uncomp.avi_frame15.jpg,non-waving
person01_handclapping_d3_uncomp.avi_frame16.jpg,non-waving
person01_handclapping_d3_uncomp.avi_frame17.jpg,non-waving
person01_handclapping_d3_uncomp.avi_frame2.jpg,non-waving
person01_handclapping_d3_uncomp.avi_frame3.jpg,non-waving
person01_handclapping_d3_uncomp.avi_frame4.jpg,non-waving
person01_handclapping_d3_uncomp.avi_frame5.jpg,non-waving
person01_handclapping_d3_uncomp.avi_frame6.jpg,non-waving
person01_handclapping_d3_uncomp.avi_frame7.jpg,non-waving
person01_handclapping_d3_uncomp.avi_frame8.jpg,non-waving
person01_handclapping_d3_uncomp.avi_frame9.jpg,non-waving
person01_jogging_d1_uncomp.avi_frame0.jpg,non-waving
person01_jogging_d1_uncomp.avi_frame1.jpg,non-waving
person01_jogging_d1_uncomp.avi_frame10.jpg,non-waving
person01_jogging_d1_uncomp.avi_frame11.jpg,non-waving
person01_jogging_d1_uncomp.avi_frame12.jpg,non-waving
person01_jogging_d1_uncomp.avi_frame13.jpg,non-waving
person01_jogging_d1_uncomp.avi_frame14.jpg,non-waving
person01_jogging_d1_uncomp.avi_frame15.jpg,non-waving
person01_jogging_d1_uncomp.avi_frame16.jpg,non-waving
person01_jogging_d1_uncomp.avi_frame2.jpg,non-waving
person01_jogging_d1_uncomp.avi_frame3.jpg,non-waving
person01_jogging_d1_uncomp.avi_frame4.jpg,non-waving
person01_jogging_d1_uncomp.avi_frame5.jpg,non-waving
person01_jogging_d1_uncomp.avi_frame6.jpg,non-waving
person01_jogging_d1_uncomp.avi_frame7.jpg,non-waving
person01_jogging_d1_uncomp.avi_frame8.jpg,non-waving
person01_jogging_d1_uncomp.avi_frame9.jpg,non-waving
person02_boxing_d4_uncomp.avi_frame0.jpg,non-waving
person02_boxing_d4_uncomp.avi_frame1.jpg,non-waving
person02_boxing_d4_uncomp.avi_frame10.jpg,non-waving
person02_boxing_d4_uncomp.avi_frame11.jpg,non-waving
person02_boxing_d4_uncomp.avi_frame12.jpg,non-waving
person02_boxing_d4_uncomp.avi_frame13.jpg,non-waving
person02_boxing_d4_uncomp.avi_frame14.jpg,non-waving
person02_boxing_d4_uncomp.avi_frame15.jpg,non-waving
person02_boxing_d4_uncomp.avi_frame16.jpg,non-waving
person02_boxing_d4_uncomp.avi_frame17.jpg,non-waving
person02_boxing_d4_uncomp.avi_frame18.jpg,non-waving
person02_boxing_d4_uncomp.avi_frame19.jpg,non-waving
person02_boxing_d4_uncomp.avi_frame2.jpg,non-waving
person02_boxing_d4_uncomp.avi_frame20.jpg,non-waving
person02_boxing_d4_uncomp.avi_frame3.jpg,non-waving
person02_boxing_d4_uncomp.avi_frame4.jpg,non-waving
person02_boxing_d4_uncomp.avi_frame5.jpg,non-waving
person02_boxing_d4_uncomp.avi_frame6.jpg,non-waving
person02_boxing_d4_uncomp.avi_frame7.jpg,non-waving
person02_boxing_d4_uncomp.avi_frame8.jpg,non-waving
person02_boxing_d4_uncomp.avi_frame9.jpg,non-waving
person02_jogging_d1_uncomp.avi_frame0.jpg,non-waving
person02_jogging_d1_uncomp.avi_frame1.jpg,non-waving
person02_jogging_d1_uncomp.avi_frame10.jpg,non-waving
person02_jogging_d1_uncomp.avi_frame11.jpg,non-waving
person02_jogging_d1_uncomp.avi_frame12.jpg,non-waving
person02_jogging_d1_uncomp.avi_frame13.jpg,non-waving
person02_jogging_d1_uncomp.avi_frame2.jpg,non-waving
person02_jogging_d1_uncomp.avi_frame3.jpg,non-waving
person02_jogging_d1_uncomp.avi_frame4.jpg,non-waving
person02_jogging_d1_uncomp.avi_frame5.jpg,non-waving
person02_jogging_d1_uncomp.avi_frame6.jpg,non-waving
person02_jogging_d1_uncomp.avi_frame7.jpg,non-waving
person02_jogging_d1_uncomp.avi_frame8.jpg,non-waving
person02_jogging_d1_uncomp.avi_frame9.jpg,non-waving
person02_running_d1_uncomp.avi_frame0.jpg,non-waving
person02_running_d1_uncomp.avi_frame1.jpg,non-waving
person02_running_d1_uncomp.avi_frame10.jpg,non-waving
person02_running_d1_uncomp.avi_frame11.jpg,non-waving
person02_running_d1_uncomp.avi_frame12.jpg,non-waving
person02_running_d1_uncomp.avi_frame2.jpg,non-waving
